categorie_id;fournisseur_id
CAT01;FOU018
CAT01;FOU006
CAT01;FOU027
CAT01;FOU050
CAT01;FOU007
CAT01;FOU003
CAT02;FOU035
CAT02;FOU036
CAT02;FOU022
CAT02;FOU048
CAT02;FOU004
CAT02;FOU011
CAT02;FOU009
CAT02;FOU047
CAT02;FOU049
CAT03;FOU045
CAT03;FOU016
CAT03;FOU011
CAT03;FOU001
CAT03;FOU028
CAT03;FOU006
CAT03;FOU039
CAT03;FOU025
CAT04;FOU001
CAT04;FOU021
CAT04;FOU047
CAT04;FOU029
CAT04;FOU007
CAT04;FOU003
CAT05;FOU043
CAT05;FOU010
CAT05;FOU009
CAT05;FOU002
CAT05;FOU019
CAT05;FOU028
CAT06;FOU031
CAT06;FOU017
CAT06;FOU050
CAT06;FOU003
CAT06;FOU020
CAT06;FOU022
CAT06;FOU034
CAT06;FOU048
CAT06;FOU014
CAT06;FOU039
CAT07;FOU037
CAT07;FOU021
CAT07;FOU001
CAT07;FOU026
CAT07;FOU042
CAT07;FOU033
CAT07;FOU028
CAT07;FOU035
CAT07;FOU041
CAT07;FOU039
CAT08;FOU034
CAT08;FOU043
CAT08;FOU027
CAT08;FOU024
CAT08;FOU033
CAT08;FOU003
CAT08;FOU042
CAT08;FOU012
CAT08;FOU006
CAT09;FOU043
CAT09;FOU017
CAT09;FOU011
CAT09;FOU022
CAT09;FOU047
CAT09;FOU036
CAT09;FOU026
CAT09;FOU005
CAT09;FOU030
CAT10;FOU037
CAT10;FOU022
CAT10;FOU002
CAT10;FOU013
CAT10;FOU038
CAT10;FOU006
CAT10;FOU041
CAT10;FOU024
CAT10;FOU001
