categorie_id;marque_id
CAT01;MAR001
CAT01;MAR002
CAT01;MAR003
CAT01;MAR006
CAT01;MAR007
CAT01;MAR008
CAT01;MAR009
CAT02;MAR001
CAT02;MAR002
CAT02;MAR003
CAT02;MAR004
CAT02;MAR005
CAT02;MAR006
CAT02;MAR007
CAT02;MAR008
CAT03;MAR001
CAT03;MAR004
CAT03;MAR005
CAT03;MAR008
CAT03;MAR009
CAT03;MAR010
CAT03;MAR020
CAT03;MAR021
CAT03;MAR022
CAT04;MAR001
CAT04;MAR002
CAT04;MAR004
CAT04;MAR005
CAT04;MAR008
CAT04;MAR010
CAT04;MAR011
CAT04;MAR014
CAT05;MAR001
CAT05;MAR011
CAT05;MAR012
CAT05;MAR013
CAT05;MAR029
CAT05;MAR030
CAT06;MAR001
CAT06;MAR002
CAT06;MAR005
CAT06;MAR006
CAT06;MAR007
CAT06;MAR014
CAT06;MAR015
CAT06;MAR016
CAT07;MAR001
CAT07;MAR004
CAT07;MAR005
CAT07;MAR006
CAT07;MAR017
CAT07;MAR018
CAT07;MAR019
CAT08;MAR020
CAT08;MAR021
CAT08;MAR022
CAT08;MAR029
CAT08;MAR030
CAT09;MAR005
CAT09;MAR010
CAT09;MAR023
CAT09;MAR024
CAT09;MAR025
CAT10;MAR001
CAT10;MAR003
CAT10;MAR005
CAT10;MAR006
CAT10;MAR019
CAT10;MAR026
CAT10;MAR027
CAT10;MAR028
