fournisseur_id;fournisseur;pays;delai_moyen_jours;fiabilite_pct
FOU001;Supplier 001;Allemagne;7;96.5
FOU002;Supplier 002;Espagne;10;89.6
FOU003;Supplier 003;Allemagne;17;96.5
FOU004;Supplier 004;Chine;35;94.8
FOU005;Supplier 005;France;5;89.1
FOU006;Supplier 006;Espagne;15;94.9
FOU007;Supplier 007;Chine;42;96.2
FOU008;Supplier 008;Chine;56;90.5
FOU009;Supplier 009;Vietnam;52;97.3
FOU010;Supplier 010;France;7;96.0
FOU011;Supplier 011;Pologne;18;89.8
FOU012;Supplier 012;Pologne;13;89.1
FOU013;Supplier 013;Allemagne;12;97.7
FOU014;Supplier 014;Vietnam;51;97.3
FOU015;Supplier 015;Turquie;32;89.4
FOU016;Supplier 016;Pays-Bas;8;94.3
FOU017;Supplier 017;Vietnam;58;94.6
FOU018;Supplier 018;Allemagne;7;95.6
FOU019;Supplier 019;Portugal;9;97.8
FOU020;Supplier 020;Allemagne;13;91.2
FOU021;Supplier 021;Pologne;15;92.3
FOU022;Supplier 022;Espagne;17;91.1
FOU023;Supplier 023;Allemagne;16;95.3
FOU024;Supplier 024;Chine;45;89.9
FOU025;Supplier 025;Pays-Bas;11;99.4
FOU026;Supplier 026;Chine;44;95.9
FOU027;Supplier 027;France;8;97.5
FOU028;Supplier 028;Pologne;22;91.1
FOU029;Supplier 029;Espagne;16;98.1
FOU030;Supplier 030;Pologne;16;95.5
FOU031;Supplier 031;Pays-Bas;17;93.3
FOU032;Supplier 032;Portugal;10;90.8
FOU033;Supplier 033;Chine;64;91.0
FOU034;Supplier 034;Vietnam;62;98.3
FOU035;Supplier 035;Pays-Bas;12;90.5
FOU036;Supplier 036;Italie;16;93.7
FOU037;Supplier 037;France;6;89.8
FOU038;Supplier 038;Italie;20;95.8
FOU039;Supplier 039;Vietnam;39;92.4
FOU040;Supplier 040;Vietnam;64;94.1
FOU041;Supplier 041;Chine;30;95.8
FOU042;Supplier 042;Allemagne;17;98.2
FOU043;Supplier 043;Portugal;20;95.4
FOU044;Supplier 044;Allemagne;11;93.0
FOU045;Supplier 045;Turquie;15;99.0
FOU046;Supplier 046;Portugal;16;96.8
FOU047;Supplier 047;Chine;36;98.0
FOU048;Supplier 048;Portugal;18;93.8
FOU049;Supplier 049;Espagne;9;92.3
FOU050;Supplier 050;Italie;16;99.0
