marque_id;marque;positionnement;origine
MAR001;UrbanHome;Standard;France
MAR002;Maison Nova;Premium;France
MAR003;Atelier 21;Premium;France
MAR004;Essentia;Standard;France
MAR005;Home Basics;Économique;France
MAR006;Nordika;Standard;Suède
MAR007;Scandi Living;Premium;Danemark
MAR008;Casa Bella;Standard;Italie
MAR009;Milano Design;Premium;Italie
MAR010;VivaCasa;Économique;Espagne
MAR011;Lumière & Co;Standard;France
MAR012;Luxia;Premium;Italie
MAR013;Bright Home;Économique;Pologne
MAR014;Douce Maison;Standard;France
MAR015;Coton & Lin;Premium;France
MAR016;Textilia;Économique;Portugal
MAR017;Rangement Plus;Standard;France
MAR018;Easy Storage;Économique;Pologne
MAR019;Modul'Home;Premium;Allemagne
MAR020;Kitchen Lab;Standard;Allemagne
MAR021;Cook & Home;Économique;France
MAR022;Chef Design;Premium;Italie
MAR023;Garden Life;Standard;France
MAR024;Green Outdoor;Premium;Pays-Bas
MAR025;Easy Garden;Économique;Espagne
MAR026;WorkSpace;Standard;France
MAR027;Office Design;Premium;Allemagne
MAR028;Easy Office;Économique;Pologne
MAR029;ElectroHome;Standard;France
MAR030;NovaTech;Premium;Allemagne
