sous_categorie_id;categorie_id;sous_categorie
SC001;CAT01;Canapés
SC002;CAT01;Fauteuils
SC003;CAT01;Tables basses
SC004;CAT01;Meubles TV
SC005;CAT01;Bibliothèques
SC006;CAT02;Lits
SC007;CAT02;Matelas
SC008;CAT02;Chevets
SC009;CAT02;Armoires
SC010;CAT02;Commodes
SC011;CAT03;Tables
SC012;CAT03;Chaises
SC013;CAT03;Tabourets
SC014;CAT03;Rangements cuisine
SC015;CAT03;Accessoires repas
SC016;CAT04;Vases
SC017;CAT04;Cadres
SC018;CAT04;Miroirs
SC019;CAT04;Objets décoratifs
SC020;CAT04;Horloges
SC021;CAT05;Lampes à poser
SC022;CAT05;Lampadaires
SC023;CAT05;Suspensions
SC024;CAT05;Appliques
SC025;CAT05;Éclairage extérieur
SC026;CAT06;Coussins
SC027;CAT06;Plaids
SC028;CAT06;Rideaux
SC029;CAT06;Linge de lit
SC030;CAT06;Linge de bain
SC031;CAT07;Étagères
SC032;CAT07;Boîtes
SC033;CAT07;Paniers
SC034;CAT07;Dressings
SC035;CAT07;Rangements modulaires
SC036;CAT08;Café
SC037;CAT08;Petit-déjeuner
SC038;CAT08;Cuisine
SC039;CAT08;Entretien
SC040;CAT08;Confort
SC041;CAT09;Mobilier jardin
SC042;CAT09;Barbecue
SC043;CAT09;Pots et jardinières
SC044;CAT09;Éclairage jardin
SC045;CAT09;Accessoires extérieur
SC046;CAT10;Bureaux
SC047;CAT10;Chaises de bureau
SC048;CAT10;Rangements bureau
SC049;CAT10;Lampes de bureau
SC050;CAT10;Accessoires bureau
